datetime,underlying_price,NIFTY27JAN2625200CE,NIFTY27JAN2625300CE,NIFTY27JAN2625400CE,NIFTY27JAN2625500CE,NIFTY27JAN2625600CE,NIFTY27JAN2625700CE,NIFTY27JAN2625800CE,NIFTY27JAN2625900CE,NIFTY27JAN2626000CE,NIFTY27JAN2626100CE,NIFTY27JAN2626200CE,NIFTY27JAN2626300CE,NIFTY27JAN2626400CE,NIFTY27JAN2626500CE,NIFTY27JAN2623800PE,NIFTY27JAN2623900PE,NIFTY27JAN2624000PE,NIFTY27JAN2624100PE,NIFTY27JAN2624200PE,NIFTY27JAN2624300PE,NIFTY27JAN2624400PE,NIFTY27JAN2624500PE,NIFTY27JAN2624600PE,NIFTY27JAN2624700PE,NIFTY27JAN2624800PE,NIFTY27JAN2624900PE,NIFTY27JAN2625000PE,NIFTY27JAN2625100PE
07-01-2026 09:15,26111.65,0.12662,0.1233,0.11741,0.1138340976939708,0.11005,0.10576,0.1010295134072166,0.09724,0.0957,0.09397,0.09187,0.09041,0.08908,0.08795,0.1784,0.17237,0.16928,0.16342732048451494,0.1576,0.1524,0.14697,0.14105,0.13613,0.13085,0.1264,0.12142,0.11631,0.1115
07-01-2026 09:20,26141.4,0.08632,0.09937519358682731,0.1071730866791056,0.11779,0.11197,0.11028,0.10569853947147474,0.10172790703027801,0.09837,0.09619,0.09413,0.09236,0.09057,0.08925,0.17962,0.17477,0.1707288727798893,0.16534,0.1595977090156956,0.1542,0.14753,0.14274,0.13849,0.13282,0.12841512118239268,0.12363,0.11847460214126206,0.11353
07-01-2026 09:25,26139.35,0.09147,0.09526630885309353,0.09514,0.09933,0.09599,0.09204,0.09216,0.08954,0.08996,0.08861,0.08697,0.08627,0.08541,0.08454666269817136,0.1801,0.17574,0.17154,0.16567,0.15927,0.15417496506929912,0.14919,0.14245,0.13806,0.13242,0.12877,0.12349,0.11817,0.11289269186161635
07-01-2026 09:30,26128.95,0.1086,0.10842,0.1115,0.12248,0.10715,0.11098,0.10345,0.10051304282440132,0.09864,0.09511,0.09304,0.09123,0.08955790181899563,0.08843,0.18174,0.17635594625588064,0.17206,0.16502,0.15755,0.15221063845235824,0.14691,0.14209,0.13721,0.13184,0.12722,0.12252,0.11729,0.112
07-01-2026 09:35,26131.9,0.10462,0.10538,0.12459,0.12051,0.11225,0.11294,0.10544,0.10245036382530717,0.09896,0.09626085025177994,0.09412,0.09136,0.09014,0.08885,0.18193,0.17672336795123084,0.17226,0.16522,0.15924,0.15334,0.14784,0.1423,0.13724552721148756,0.13219,0.12733,0.12295,0.11707,0.11123211450110738
07-01-2026 09:40,26145.15,0.07079,0.07639,0.08313,0.08523,0.08624666872591796,0.08734,0.0871241371607902,0.0852105069976757,0.0845,0.08386,0.0833701325908633,0.08301,0.08262,0.08249,0.18277,0.1782,0.17265,0.16631,0.15883,0.15343,0.14961,0.14337,0.1382,0.13313,0.12864,0.12374,0.11872,0.11373868135823823
07-01-2026 09:45,26113.1,0.1288105771184061,0.11837,0.10826,0.11514,0.1083,0.1055,0.10226,0.09938008227660519,0.09741,0.09438,0.09237,0.09075,0.08918397245441773,0.08809,0.18107,0.17468,0.1704,0.16426,0.157,0.15289,0.14697,0.14089,0.13571,0.13075,0.12599,0.12096,0.11582226668442469,0.11071
07-01-2026 09:50,26110.0,0.13229445831665054,0.12087,0.10978,0.11018888428120523,0.10490720132902115,0.10476,0.09939,0.0968,0.09542,0.09316,0.09122,0.08945,0.08809498802302755,0.08699,0.17863175746912044,0.1745,0.17045,0.16386,0.15681,0.15155,0.14694,0.14104392176156405,0.13566,0.13068,0.12601,0.12108674498849177,0.11607,0.11095
07-01-2026 09:55,26108.9,0.13029,0.12175,0.13487,0.1286355863504232,0.12009,0.11328,0.11024704409807803,0.10658653727937162,0.10426,0.10032,0.09739,0.09479,0.09256,0.09083,0.18084,0.17444,0.16945,0.16358,0.15675,0.1515863778306663,0.14636,0.14063,0.1353,0.130257505728224,0.12571,0.12047,0.11516999882775279,0.10983
07-01-2026 10:00,26140.3,0.09239,0.0877,0.115,0.11531,0.11123,0.10752,0.10161,0.09916438285887048,0.09747,0.09487424763411825,0.09255,0.09062,0.08911,0.08760471360594445,0.1828,0.17745,0.1717,0.16515,0.16067,0.15356,0.1481,0.14259,0.13742219010344953,0.13216,0.12774,0.12248,0.1173249777731984,0.1122
07-01-2026 10:05,26142.95,0.05238486141774122,0.08237,0.11304,0.1138697311310749,0.11037,0.11308,0.11004,0.10336,0.10275,0.09909,0.09616,0.0936860461193891,0.09181,0.09023,0.18298,0.17622,0.1714,0.16534,0.15961,0.15374,0.14828,0.14278,0.13766,0.13236,0.12794,0.12247,0.11739,0.11183
07-01-2026 10:10,26159.15,0.10591,0.11189,0.09886,0.10486781678573827,0.10346880251714617,0.10552680226495763,0.10588,0.10247500572140486,0.10028824225373274,0.09746,0.09524,0.09264,0.09117,0.08945,0.1852314207016483,0.17882126014036584,0.17292,0.16683,0.1607335239546149,0.15501,0.14937,0.14421,0.13893,0.1335,0.12947,0.12462,0.11843,0.11309
07-01-2026 10:15,26183.8,0.12049,0.09722,0.11136,0.09406,0.09202,0.09298098777845555,0.09326,0.08786,0.08838,0.08621670332773469,0.08545060682698592,0.08527,0.08415,0.0830270972264431,0.18267,0.17843940104843853,0.17425,0.16842,0.16269,0.15663,0.15173,0.14572,0.14048,0.13536,0.13028,0.12548,0.12019,0.115
07-01-2026 10:20,26169.15,0.13492,0.11376,0.12267,0.11320851622536415,0.10785,0.10210585201172065,0.09695,0.09399,0.09285,0.0908870579645046,0.08918,0.08778,0.08646,0.08546,0.18381,0.17694,0.17255408167526015,0.1675,0.16155427019281376,0.15606268010748878,0.15024,0.1449870767628095,0.13994,0.13449,0.12949,0.12431,0.11901,0.11379
07-01-2026 10:25,26152.25,0.14819,0.11685,0.1055,0.10144,0.09554039493194975,0.09622718290797706,0.09325,0.09388,0.0911,0.08938447793332578,0.08801,0.08672,0.0857,0.08459,0.18279,0.1759,0.17083287321335938,0.16533639278009607,0.16026,0.15459,0.14949,0.14378,0.13834,0.13291,0.12889,0.1234,0.11784,0.11258
07-01-2026 10:30,26130.45,0.14045,0.13392,0.12199,0.11710862604083724,0.10970257373083646,0.10631,0.10164,0.09839,0.09612689233621764,0.09407,0.09187443485661385,0.09004323482966824,0.0883,0.08712,0.18145,0.17666,0.17139,0.16528,0.1591679580163421,0.15318,0.14805,0.14233,0.13686,0.1314,0.12709,0.1217,0.11602,0.11038655030561727
07-01-2026 10:35,26133.05,0.13848,0.13213,0.12304481116608303,0.11563736610084852,0.109,0.10357,0.10375,0.09754,0.09843,0.09500986111910756,0.09299,0.09149279069887645,0.08935,0.08769,0.18089011561250773,0.17607,0.17133,0.16478,0.15915984989236542,0.15317,0.1486,0.14241227432287498,0.13675,0.13159,0.12694,0.12169,0.11630102265084846,0.11086
07-01-2026 10:40,26144.05,0.13107944939014274,0.1239,0.11769870199571306,0.11069,0.10576229950163092,0.10253,0.10015953566540979,0.09761,0.09496,0.09267224857206074,0.09067,0.08889717495068347,0.08738,0.08609,0.18288,0.17721436807320468,0.17204,0.1655,0.15977,0.15409,0.14898,0.14327,0.13781,0.13264,0.12761,0.12226911125673379,0.11697,0.11170021024646679
07-01-2026 10:45,26141.15,0.12448,0.11914111186847136,0.11456,0.114,0.10828,0.10332,0.10041,0.09745,0.09464688893446266,0.09195,0.09043,0.08885,0.0870902018431967,0.08575,0.18131,0.1766,0.17113426923688518,0.16533,0.15938,0.15392,0.14844,0.14292,0.13762,0.13204,0.12718,0.12241,0.11676,0.11115088750146233
07-01-2026 10:50,26146.85,0.15441,0.12166,0.12264,0.12576,0.11291599031689807,0.10062,0.10183498104700124,0.10421,0.10121,0.09751,0.09502,0.09229,0.09052,0.08866,0.18168,0.17641463375112956,0.17128,0.1657,0.15981866778373535,0.15411,0.14865,0.14331,0.13772,0.13245,0.12747,0.12241,0.11671,0.11127
07-01-2026 10:55,26168.55,0.11618,0.09908,0.10582,0.10425857719778127,0.10027,0.09883,0.09819,0.09465,0.09529,0.09256,0.0906,0.08877,0.08737,0.08584,0.18331,0.17727,0.17315,0.16687,0.16117,0.15554661164929423,0.1501,0.14478,0.13937,0.13411,0.12903,0.12366789647420032,0.11815,0.11277
